Clock frequency is approx. 1107.3 MHz
Memory mountain (MB/sec)
x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
128m	5180	3392	2480	1713	1341	1130	989	875	797	729	660	610	591	580	558	535	524	508	491	481	477	472	469	461	456	446	437	431	422	414	403	400	
64m	5178	3396	2478	1780	1400	1132	989	875	796	729	661	611	590	580	559	536	504	491	477	464	461	474	469	463	456	446	439	431	423	413	403	400	
32m	5193	3404	2491	1790	1403	1128	988	879	798	725	660	611	589	579	559	538	522	509	495	480	478	473	469	463	456	448	440	431	423	415	405	401	
16m	5187	3396	2483	1789	1394	1133	991	879	799	728	661	612	570	558	539	516	523	507	494	483	479	477	471	463	460	451	447	447	436	433	425	400	
8m	5174	3280	2549	1962	1482	1168	1007	890	817	757	687	667	681	690	690	545	791	873	912	1153	1211	3792	4490	4938	4886	4961	4893	4932	5042	4903	4819	412	
4m	6553	4876	4030	3513	3080	2718	2500	2273	2537	3222	3950	4994	5479	5765	5795	1609	5775	5756	5738	5772	5769	5758	5702	5732	5682	5698	5721	5699	5696	5774	5746	1257	
2m	9820	9856	8627	7693	7419	6822	6466	6338	6185	6247	6183	6133	6100	6110	6047	6113	5969	5947	5949	6052	5911	5860	5786	5785	5762	5833	5836	5867	5835	5896	5888	6174	
1024k	9820	9851	8626	7689	7413	6891	6447	6331	6176	6252	6170	6129	6124	6100	6068	6094	5949	5933	5938	6038	5907	5841	5814	5769	5773	5820	5820	5845	5789	5858	5894	5761	
512k	9818	9848	8622	7690	7418	6720	6461	6318	6171	6240	6168	6122	6115	6082	6043	6068	5898	5907	5984	6006	5883	5802	5813	5732	5749	5849	5746	5802	5737	5771	5826	5807	
256k	9815	9849	8610	7680	7413	6709	6458	6298	6205	6221	6144	6050	6059	6051	6045	5938	5837	5944	5826	5883	5832	5761	5728	5696	5614	5778	5740	5733	5700	5790	5741	5507	
128k	9807	9822	8583	7640	7376	6732	6346	6258	6078	6118	6136	5993	6018	5964	5818	5789	5784	5800	5726	5777	5716	5716	5730	5438	5538	5419	5434	5520	5673	5466	5695	5125	
64k	9833	9902	8602	7736	7363	6883	6407	6196	6168	6062	6057	6041	6120	5971	6017	5898	5831	5824	7415	8097	10898	11570	13597	15039	9013	13224	6523	16825	13234	15403	10737	4930	
32k	9798	9843	8475	7680	7227	6734	6192	6047	6229	9884	12258	16518	15764	17159	16451	5517	15923	13001	8920	17273	13390	14213	14078	12595	10665	14236	8342	11777	13737	15703	16484	4328	
16k	20499	19805	19196	18436	18228	17677	17746	15426	14927	17781	16164	13495	13951	12701	16563	11338	16156	13435	9739	11336	12164	13076	12924	11986	9935	8207	5991	10619	7347	13435	7795	4724	
